"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Klaipėdos apskr.","Šilutės r.","80+",553
"Kauno apskr.","Kauno r.","80+",1271
"Šiaulių apskr.","Radviliškio r.","50-59",2695
"Kauno apskr.","Raseinių r.","30-39",1208
"Panevėžio apskr.","Rokiškio r.","30-39",1111
"Utenos apskr.","Visagino m.","80+",516
"Klaipėdos apskr.","Šilutės r.","20-29",2299
"Panevėžio apskr.","Biržų r.","50-59",1738
"Kauno apskr.","Kėdainių r.","50-59",3180
"Telšių apskr.","Mažeikių r.","20-29",2444
"Šiaulių apskr.","Pakruojo r.","30-39",373
"Panevėžio apskr.","Panevėžio r.","40-49",1714
"Utenos apskr.","Ignalinos r.","20-29",817
"Kauno apskr.","Kaišiadorių r.","70-79",869
"Šiaulių apskr.","Kelmės r.","30-39",432
"Vilniaus apskr.","Ukmergės r.","50-59",2448
"Vilniaus apskr.","Vilniaus m.","20-29",28109
"Alytaus apskr.","Druskininkų","50-59",1362
"Kauno apskr.","Kaišiadorių r.","50-59",1824
"Klaipėdos apskr.","Kretingos r.","70-79",1083
"Šiaulių apskr.","Pakruojo r.","50-59",1377
"Telšių apskr.","Plungės r.","20-29",2020
"Alytaus apskr.","Alytaus r.","80+",1340
"Šiaulių apskr.","Joniškio r.","30-39",432
"Kauno apskr.","Kauno m.","60-69",19461
"Kauno apskr.","Kauno m.","30-39",21313
"Panevėžio apskr.","Rokiškio r.","70-79",1752
"Šiaulių apskr.","Akmenės r.","40-49",743
"Alytaus apskr.","Druskininkų","70-79",616
"Šiaulių apskr.","Joniškio r.","50-59",1585
"Klaipėdos apskr.","Klaipėdos m.","20-29",7098
"Klaipėdos apskr.","Šilutės r.","70-79",1068
"Kauno apskr.","Birštono","80+",76
"Vilniaus apskr.","Elektrėnų","20-29",1318
"Klaipėdos apskr.","Klaipėdos r.","50-59",3760
"Klaipėdos apskr.","Skuodo r.","30-39",49
"Utenos apskr.","Visagino m.","70-79",518
"Utenos apskr.","Zarasų r.","60-69",904
"Šiaulių apskr.","Akmenės r.","50-59",1322
"Utenos apskr.","Ignalinos r.","80+",351
"Telšių apskr.","Mažeikių r.","30-39",1380
"Panevėžio apskr.","Pasvalio r.","20-29",1493
"Klaipėdos apskr.","Šilutės r.","30-39",1354
"Marijampolės apskr.","Kazlų Rūdos","70-79",641
"Kauno apskr.","Kėdainių r.","60-69",3192
"Šiaulių apskr.","Šiaulių m.","30-39",7560
"Vilniaus apskr.","Švenčionių r.","60-69",1694
"Panevėžio apskr.","Biržų r.","80+",480
"Panevėžio apskr.","Panevėžio r.","70-79",1825
"Utenos apskr.","Zarasų r.","80+",876
"Tauragės apskr.","Šilalės r.","30-39",373
"Tauragės apskr.","Šilalės r.","70-79",1045
"Šiaulių apskr.","Akmenės r.","50-59",1393
"Šiaulių apskr.","Joniškio r.","20-29",1063
"Telšių apskr.","Rietavo","20-29",484
"Vilniaus apskr.","Ukmergės r.","60-69",2335
"Vilniaus apskr.","Vilniaus r.","70-79",3793
"Alytaus apskr.","Alytaus r.","30-39",1015
"Panevėžio apskr.","Biržų r.","50-59",1829
"Panevėžio apskr.","Rokiškio r.","60-69",2166
"Tauragės apskr.","Tauragės r.","20-29",2096
"Šiaulių apskr.","Šiaulių m.","30-39",4857
"Utenos apskr.","Anykščių r.","30-39",893
"Utenos apskr.","Ignalinos r.","30-39",574
"Panevėžio apskr.","Kupiškio r.","30-39",321
"Kauno apskr.","Prienų r.","70-79",1456
"Alytaus apskr.","Varėnos r.","80+",434
"Šiaulių apskr.","Akmenės r.","40-49",924
"Utenos apskr.","Anykščių r.","40-49",1192
"Kauno apskr.","Kauno m.","50-59",14664
"Marijampolės apskr.","Marijampolės","80+",780
"Tauragės apskr.","Šilalės r.","40-49",1013
"Kauno apskr.","Birštono","50-59",264
"Kauno apskr.","Kauno m.","80+",4520
